Estudo;Amostras;Acurácia_Antes_da_Intervenção;Acurácia_01 %;Acurácia_02 %;Redução %;Comparação;Cohen_d;Erro Padrão;IC_95%;Intervenção;
Estudo 1;10288;81;95;98.26;-21.30;81.00% vs 98.26%;0.192;0.01;[0.172 - 0.211];Vetorial;
Estudo 2;1.300.000;90.41;;96;-6.21;90.41% vs 96.00%;0.06;0.001;[0.058 - 0.062];Vetorial + Tensorial;
Estudo 3;10616;96.35;;96.91;-0.58;96.35% vs 96.91%;0.006;0.01;[-0.013 - 0.025];Vetorial + Tensorial;
Estudo 4;1.030.000;99.03;99.90;99.99;-0.96;99.03% vs 99.99%;0.01;0.001;[0.008 - 0.012];Vetorial + Tensorial;
Estudo 5;668;83.5;96.70;96.71;-15.82;83.50% vs 96.71%;0.146;0.039;[0.070 - 0.222];Vetorial + Tensorial;
Estudo 6;512;;90;95;;;;;;Vetorial + Tensorial;
Estudo 7;60000;;85;97;;;;;;Vetorial;
Estudo 8;668;92;95;99;-7.60;92.00% vs 99.00%;0.073;0.039;[-0.003 - 0.149];Tensorial;
Estudo 9;656;90;98.97;98;-8.8;90.00% vs 98.00%;0.085;0.039;[0.009 - 0.162];Vetorial;
Estudo 10;6788;;72.42;81.71;;;;;;Tensorial;
Estudo 11;1972;86.34;80;84.92;1.64;86.34% vs 84.92%;-0.017;0.023;[-0.061 -  0.028];Vetorial;
Estudo 12;4027;71.27;;84.87;-19.08;71.27% vs 84.87%;0.174;0.016;[0.143 -  0.204];Vetorial;
Estudo 13;6000;80;99.58;99.58;24.25;80.00% vs 99.58%;0.217;0.013;[0.191 - 0.242];Vetorial;
Estudo 14;1674;87.94;94.35;94.98;-8.005;87.94% vs 94.98%;0.077;0.024;[0.029 - 0.125];Vetorial + Tensorial;
Estudo 15;8667;90.20;93.52;94.18;-4.41;90.20% vs 94.18%;0.043;0.011;[0.022 - 0.064];Tensorial;
Estudo 16;192;82.25;98.53;98.83;-20.15;82.25% vs 98.83%;0.182;0.072;[0.041- 0.324];Tensorial;
Estudo 17;856;83.5;85.5;91.9;-10.05;83.50% vs 91.90%;0.096;0.034;[0.029 - 0.163];Tensorial;
Estudo 18;603;95;95.15;96.88;-1.92;95.00% vs 96.88%;0.02;0.041;[-0.060 - 0.099];Vetorial;
Estudo 19;668;95;91.89;94.13;0.91;95.00% vs 94.13%;-0.009;0.039;[-0.085 - 0.067];Tensorial;
Estudo 20;201;;70;78;;;;;;Vetorial;
