Estudo,Amostras,Acurácia_Antes_da_Intervenção,Acurácia_01 %,Acurácia_02 %,Desvio_Padrão,Redução %
Estudo 1,10288,81,95,98.26,,-21.30
Estudo 2,1.300.000,90.41,,96,,-6.21
Estudo 3,10616,96.35,,96.91,,"-0,58"
Estudo 4,1.030.000,99.03,99.90,99.99,,-0.96
Estudo 5,668,83.5,96.70,96.71,,-15.82
Estudo 6,512,,90,95,,
Estudo 7,60000,,85,97,,
Estudo 8,668,92,95,99,,-7.60
Estudo 9,656,90,98.97,98,,-8.8
Estudo 10,6788,,72.42,81.71,,
Estudo 11,1972,86.34,80,84.92,,1.64
Estudo 12,4027,71.27,,84.87,,-19.08
Estudo 13,6000,80,99.58,99.58,,24.25
Estudo 14,1674,87.94,94.35,94.98,,-8.005
Estudo 15,8667,90.20,93.52,94.18,,-4.41
Estudo 16,192,82.25,98.53,98.83,,-20.15
Estudo 17,856,83.5,85.5,91.9,,-10.05
Estudo 18,603,95,95.15,96.88,,-1.92
Estudo 19,668,95,91.89,94.13,,0.91
Estudo 20,201,,70,78,,
